iter	RMSE
0	76365.43417
1	74528.60076
2	72614.41113
3	70740.06506
4	68927.73366
5	67234.81822
6	65524.33667
7	64193.52552
8	62676.37934
9	61253.21054
10	59875.25087
11	58439.83633
12	57205.47523
13	55953.55473
14	54817.55801
15	53690.31748
16	52579.51135
17	51590.20899
18	50653.79711
19	49762.8011
20	48842.58833
21	47983.74301
22	47143.44777
23	46374.43304
24	45571.46893
25	44889.15904
26	44235.77485
27	43544.67531
28	42897.43253
29	42284.49408
30	41745.11186
31	41193.56286
32	40627.50952
33	40064.40864
34	39566.10883
35	39064.25581
36	38644.75151
37	38267.40428
38	37861.50136
39	37429.57933
40	37049.85626
41	36659.64949
42	36298.57675
43	35896.29877
44	35564.62827
45	35220.0173
46	34831.02224
47	34483.27803
48	34129.9281
49	33822.27937
50	33523.67428
51	33258.21712
52	32966.77057
53	32759.48641
54	32476.17324
55	32211.08938
56	31954.0165
57	31726.76539
58	31494.69162
59	31301.95924
60	31108.23582
61	30884.86923
62	30697.99878
63	30495.92147
64	30311.31226
65	30141.93605
66	29973.59476
67	29824.07098
68	29668.51545
69	29530.34531
70	29359.17842
71	29242.63824
72	29100.89194
73	28978.29537
74	28810.74991
75	28718.14956
76	28586.88627
77	28462.81051
78	28321.3343
79	28195.21183
80	28066.47601
81	27960.57751
82	27866.06302
83	27765.35608
84	27647.29825
85	27561.98938
86	27469.4174
87	27359.75934
88	27282.79657
89	27181.75
90	27101.60818
91	27016.04514
92	26903.11708
93	26808.91921
94	26732.11096
95	26676.94498
96	26609.80166
97	26557.82963
98	26481.65877
99	26425.48995
100	26382.37493
101	26331.74377
102	26261.18524
103	26227.69914
104	26163.87291
105	26131.19169
106	26106.35822
107	26059.61793
108	26001.40868
109	25962.99699
110	25907.41414
111	25868.02429
112	25781.68401
113	25736.14029
114	25673.92944
115	25617.36135
116	25571.46359
117	25530.86137
118	25496.55702
119	25443.91796
120	25400.05989
121	25376.39505
122	25346.83424
123	25321.64519
124	25271.96142
125	25201.37108
126	25132.58053
127	25088.71392
128	25035.7372
129	24981.81361
130	24955.66755
131	24919.51493
132	24900.1243
133	24875.87435
134	24838.91532
135	24796.75024
136	24766.64421
137	24728.80886
138	24681.44243
139	24653.60759
140	24615.35541
141	24578.9025
142	24556.36137
143	24524.49043
144	24487.46552
145	24447.80558
146	24422.88943
147	24396.50594
148	24364.76368
149	24312.72299
150	24278.0947
151	24246.67863
152	24207.95784
153	24169.71172
154	24140.99394
155	24112.29527
156	24075.68731
157	24043.65292
158	24015.28968
159	23981.03108
160	23943.38476
161	23917.80571
162	23879.36255
163	23847.87372
164	23815.5777
165	23774.67786
166	23751.8007
167	23729.05346
168	23686.60214
169	23666.2238
170	23638.41174
171	23608.83958
172	23567.3678
173	23529.13907
174	23500.88358
175	23461.97911
176	23445.25211
177	23421.92876
178	23400.65085
179	23361.09521
180	23320.73362
181	23278.5964
182	23256.14448
183	23230.8867
184	23203.24205
185	23188.71003
186	23158.68862
187	23132.30317
188	23105.98474
189	23088.73237
190	23076.74394
191	23064.06639
192	23043.02905
193	23020.22882
194	22993.56922
195	22954.78988
196	22943.39844
197	22908.10118
198	22891.04068
199	22878.0653
200	22859.59122
201	22821.8901
202	22808.1534
203	22795.40897
204	22753.57354
205	22738.25345
206	22721.84242
207	22687.51813
208	22645.63818
209	22630.63622
210	22597.57147
211	22576.30537
212	22561.64948
213	22526.20441
214	22518.37275
215	22491.29192
216	22468.23288
217	22438.71115
218	22423.26805
219	22409.23855
220	22397.43712
221	22381.57172
222	22367.67482
223	22357.24096
224	22339.2894
225	22307.21191
226	22290.19917
227	22270.60522
228	22249.45458
229	22238.64388
230	22196.59192
231	22181.41566
232	22143.21354
233	22124.56879
234	22088.00913
235	22068.67219
236	22038.50356
237	22010.33123
238	21995.04571
239	21978.96557
240	21968.9795
241	21936.90442
242	21917.7292
243	21905.24459
244	21883.22229
245	21865.81994
246	21852.01713
247	21836.99658
248	21803.82638
249	21788.58164
250	21773.67912
251	21725.7837
252	21715.27195
253	21706.23082
254	21689.81159
255	21673.75585
256	21622.89874
257	21593.21113
258	21552.31458
259	21531.37736
260	21498.01931
261	21488.81586
262	21455.58623
263	21426.43195
264	21402.14292
265	21381.27669
266	21370.35196
267	21364.22244
268	21339.58414
269	21298.526
270	21260.08993
271	21220.52422
272	21198.78779
273	21161.46219
274	21149.30128
275	21103.8537
276	21084.03783
277	21054.22396
278	21046.43694
279	21018.38772
280	20982.31296
281	20960.20011
282	20935.86974
283	20914.31739
284	20896.40122
285	20861.92624
286	20828.56114
287	20807.39922
288	20798.36743
289	20779.4875
290	20746.58844
291	20727.86437
292	20679.32445
293	20659.84149
294	20643.43026
295	20621.27517
296	20594.30005
297	20575.62904
298	20568.04825
299	20549.91582
300	20529.25133
301	20507.65398
302	20468.01646
303	20462.10631
304	20442.33459
305	20426.83142
306	20392.30966
307	20368.11298
308	20344.49172
309	20318.26408
310	20287.90964
311	20270.30832
312	20246.41154
313	20220.73094
314	20184.10291
315	20152.97098
316	20120.95076
317	20083.89997
318	20064.96511
319	20046.39187
320	20014.95524
321	19990.33961
322	19960.94617
323	19944.3001
324	19920.70877
325	19896.95104
326	19878.98274
327	19854.471
328	19826.24723
329	19802.74444
330	19778.05983
331	19752.51905
332	19730.91113
333	19707.47314
334	19678.52172
335	19662.50879
336	19642.55154
337	19633.70165
338	19607.34199
339	19588.84278
340	19572.45668
341	19564.25039
342	19533.08687
343	19505.31087
344	19480.54703
345	19469.9084
346	19447.69614
347	19427.63991
348	19395.94312
349	19371.34136
350	19363.40886
351	19338.03372
352	19307.93858
353	19283.28586
354	19273.09208
355	19263.44963
356	19249.30343
357	19233.21001
358	19204.64042
359	19171.85579
360	19155.03715
361	19120.77257
362	19107.62817
363	19078.73621
364	19050.33247
365	19032.2602
366	19017.42073
367	19010.02276
368	19001.90154
369	18988.401
370	18976.24802
371	18966.36174
372	18948.37677
373	18914.20315
374	18900.07819
375	18875.52815
376	18868.42434
377	18859.69264
378	18846.8196
379	18817.72268
380	18806.77912
381	18796.03287
382	18777.32506
383	18754.06906
384	18747.31203
385	18733.29891
386	18710.29165
387	18694.32613
388	18684.29274
389	18652.4098
390	18634.94909
391	18622.77419
392	18608.87682
393	18592.88231
394	18578.72062
395	18553.5846
396	18542.2543
397	18524.93896
398	18508.22106
399	18497.4608
400	18467.91968
401	18454.60991
402	18444.43882
403	18434.3788
404	18423.76874
405	18413.54617
406	18406.71631
407	18387.67886
408	18368.40254
409	18347.92456
410	18324.98196
411	18314.14444
412	18284.89222
413	18262.28269
414	18236.09519
415	18223.66782
416	18216.5604
417	18196.72825
418	18189.64137
419	18165.52325
420	18134.58806
421	18128.59977
422	18110.7557
423	18096.81304
424	18067.77214
425	18039.78631
426	18020.36169
427	17993.9057
428	17968.59104
429	17949.43671
430	17922.44752
431	17901.79481
432	17890.53084
433	17863.78562
434	17840.19385
435	17831.85286
436	17811.7004
437	17786.38422
438	17779.87327
439	17767.25084
440	17742.79221
441	17726.8887
442	17700.11718
443	17676.35165
444	17665.103
445	17642.48632
446	17621.1494
447	17605.83645
448	17591.68016
449	17577.31095
450	17559.06615
451	17550.58014
452	17539.38594
453	17533.94037
454	17517.1303
455	17507.32571
456	17500.73342
457	17479.7256
458	17461.64091
459	17445.14337
460	17428.78771
461	17405.61407
462	17383.58897
463	17358.21337
464	17343.61583
465	17332.82356
466	17323.9028
467	17308.0282
468	17288.43367
469	17266.76361
470	17254.70871
471	17246.67864
472	17233.98452
473	17226.27807
474	17219.60046
475	17202.79399
476	17186.08415
477	17178.77918
478	17175.6517
479	17157.73314
480	17139.56241
481	17117.16845
482	17104.59321
483	17084.33771
484	17068.59613
485	17050.11799
486	17036.05561
487	17014.12999
488	16992.98005
489	16985.75012
490	16958.54396
491	16950.69084
492	16936.69894
493	16927.18665
494	16911.23953
495	16901.55139
496	16879.80368
497	16858.20843
498	16852.45512
499	16834.30443
500	16827.02548
501	16822.81033
502	16816.95616
503	16803.15064
504	16792.20595
505	16780.15888
506	16764.32005
507	16750.76536
508	16742.17206
509	16731.10243
510	16725.70597
511	16715.97964
512	16705.79175
513	16699.11394
514	16690.95981
515	16679.77569
516	16661.34968
517	16640.85133
518	16617.96933
519	16599.02822
520	16586.47096
521	16572.27511
522	16559.36906
523	16549.35039
524	16538.36462
525	16516.90004
526	16511.44252
527	16490.44666
528	16481.07099
529	16469.49789
530	16458.16557
531	16448.96321
532	16443.96906
533	16421.63916
534	16411.24232
535	16400.82778
536	16391.80255
537	16368.14813
538	16349.05014
