iter	Passed	Remaining
0	1	1494
1	2	1399
2	4	1361
3	5	1424
4	7	1395
5	8	1371
6	9	1348
7	10	1254
8	13	1454
9	14	1423
10	17	1560
11	18	1525
12	19	1500
13	20	1477
14	22	1467
15	23	1442
16	24	1423
17	25	1405
18	27	1396
19	28	1384
20	29	1386
21	31	1417
22	33	1433
23	36	1498
24	39	1540
25	40	1526
26	42	1526
27	43	1526
28	45	1515
29	46	1514
30	48	1513
31	49	1511
32	51	1502
33	52	1488
34	53	1475
35	54	1465
36	55	1455
37	57	1448
38	58	1444
39	59	1435
40	60	1426
41	62	1419
42	63	1415
43	64	1410
44	66	1412
45	68	1418
46	70	1423
47	72	1428
48	73	1428
49	74	1423
50	76	1423
51	77	1419
52	79	1422
53	81	1422
54	82	1419
55	84	1418
56	85	1416
57	87	1414
58	88	1409
59	89	1409
60	91	1414
61	93	1413
62	95	1415
63	96	1417
64	99	1428
65	101	1433
66	103	1436
67	104	1437
68	106	1437
69	108	1446
70	112	1468
71	131	1695
72	133	1693
73	134	1686
74	135	1675
75	136	1662
76	138	1662
77	140	1665
78	142	1659
79	143	1649
80	144	1641
81	145	1633
82	147	1625
83	148	1618
84	149	1611
85	150	1603
86	152	1599
87	153	1592
88	154	1583
89	155	1575
90	156	1568
91	158	1560
92	159	1552
93	160	1545
94	161	1537
95	162	1530
96	163	1525
97	165	1519
98	166	1513
99	167	1507
100	168	1501
101	169	1495
102	171	1489
103	171	1480
104	172	1473
105	173	1463
106	174	1457
107	175	1452
108	177	1448
109	178	1443
110	179	1437
111	180	1431
112	181	1425
113	182	1419
114	183	1415
115	185	1411
116	186	1407
117	187	1402
118	188	1397
119	190	1393
120	191	1391
121	193	1389
122	194	1385
123	195	1381
124	196	1377
125	197	1372
126	198	1367
127	199	1362
128	201	1357
129	224	1503
130	225	1498
131	227	1497
132	229	1493
133	230	1490
134	231	1485
135	233	1481
136	234	1477
137	236	1476
138	238	1477
139	240	1477
140	241	1474
141	244	1479
142	246	1477
143	248	1477
144	250	1475
145	252	1479
146	255	1480
147	258	1490
148	265	1516
149	269	1525
150	274	1540
151	283	1579
152	311	1723
153	314	1726
154	322	1759
155	325	1762
156	331	1782
157	334	1784
158	339	1793
159	340	1787
160	342	1784
161	344	1780
162	345	1776
163	347	1770
164	348	1764
165	350	1759
166	351	1753
167	352	1747
168	354	1743
169	355	1738
170	357	1731
171	358	1725
172	359	1720
173	361	1714
174	362	1710
175	364	1705
176	365	1699
177	366	1693
178	368	1688
179	369	1684
180	371	1681
181	373	1678
182	374	1673
183	376	1668
184	377	1664
185	379	1661
186	381	1657
187	382	1651
188	383	1647
189	385	1642
190	386	1637
191	387	1632
192	389	1627
193	391	1624
194	393	1626
195	410	1684
196	412	1679
197	413	1676
198	415	1672
199	417	1668
200	418	1664
201	420	1661
202	422	1657
203	423	1654
204	425	1650
205	426	1645
206	428	1640
207	429	1635
208	431	1633
209	433	1631
210	435	1628
211	437	1625
212	438	1621
213	440	1617
214	441	1613
215	443	1610
216	445	1608
217	447	1605
218	449	1601
219	450	1597
220	451	1592
221	453	1589
222	455	1585
223	456	1581
224	457	1576
225	459	1572
226	462	1573
227	463	1569
228	465	1566
229	467	1563
230	468	1560
231	471	1559
232	472	1557
233	476	1559
234	477	1555
235	504	1634
236	506	1630
237	508	1627
238	509	1623
239	511	1619
240	513	1615
241	514	1610
242	516	1608
243	517	1603
244	518	1598
245	519	1593
246	521	1588
247	522	1583
248	523	1579
249	524	1574
250	526	1569
251	527	1565
252	528	1560
253	529	1555
254	530	1550
255	532	1546
256	533	1543
257	535	1540
258	537	1536
259	538	1532
260	539	1528
261	541	1525
262	543	1523
263	545	1520
264	548	1521
265	550	1519
266	552	1515
267	553	1512
268	555	1509
269	557	1507
270	560	1508
271	562	1505
272	564	1502
273	568	1506
274	570	1503
275	571	1500
276	573	1496
277	574	1492
278	576	1489
279	579	1489
280	582	1491
281	584	1488
282	588	1490
283	599	1512
284	602	1511
285	603	1507
286	604	1502
287	606	1498
288	607	1494
289	608	1489
290	610	1487
291	611	1483
292	613	1480
293	615	1477
294	617	1474
295	619	1472
296	620	1469
297	622	1465
298	623	1461
299	624	1457
300	625	1453
301	627	1449
302	628	1445
303	629	1442
304	631	1438
305	632	1435
306	633	1430
307	635	1427
308	636	1423
309	637	1419
310	638	1415
311	640	1412
312	641	1408
313	642	1404
314	643	1400
315	645	1396
316	646	1393
317	647	1389
318	649	1385
319	650	1381
320	651	1378
321	654	1377
322	655	1374
323	657	1371
324	658	1368
325	661	1366
326	662	1363
327	663	1359
328	665	1357
329	670	1361
330	672	1359
331	674	1357
332	694	1390
333	696	1388
334	698	1386
335	699	1383
336	701	1380
337	703	1377
338	704	1374
339	706	1371
340	708	1369
341	710	1366
342	712	1364
343	714	1361
344	715	1358
345	717	1355
346	718	1352
347	720	1350
348	722	1347
349	723	1344
350	725	1341
351	727	1339
352	729	1336
353	730	1333
354	732	1331
355	734	1328
356	736	1325
357	737	1322
358	739	1319
359	740	1316
360	742	1313
361	743	1310
362	745	1308
363	747	1305
364	748	1302
365	750	1299
366	751	1296
367	753	1293
368	754	1290
369	756	1288
370	758	1286
371	760	1283
372	762	1282
373	764	1279
374	766	1277
375	789	1310
376	790	1307
377	792	1303
378	793	1300
379	794	1296
380	796	1293
381	797	1290
382	799	1287
383	800	1284
384	802	1281
385	803	1277
386	804	1274
387	805	1270
388	806	1267
389	808	1264
390	809	1260
391	811	1258
392	812	1255
393	814	1252
394	815	1248
395	816	1245
396	817	1241
397	819	1238
398	820	1236
399	822	1233
400	823	1229
401	824	1226
402	826	1223
403	828	1221
404	829	1218
405	831	1216
406	833	1213
407	835	1212
408	838	1211
